frame,time_seconds,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee
0,0.0,,,,,,,,
1,0.03333333333333333,,,,,,,,
2,0.06666666666666667,,,,,,,,
3,0.1,,,,,,,,
4,0.13333333333333333,,,,,,,,
5,0.16666666666666666,,,,,,,,
6,0.2,,,,,,,,
7,0.23333333333333334,,,,,,,,
8,0.26666666666666666,,,,,,,,
9,0.3,,,,,,,,
10,0.3333333333333333,,,,,,,,
11,0.36666666666666664,,,,,,,,
12,0.4,,,,,,,,
13,0.43333333333333335,,,,,,,,
14,0.4666666666666667,,,,,,,,
15,0.5,,,,,,,,
16,0.5333333333333333,,,,,,,,
17,0.5666666666666667,,,,,,,,
18,0.6,,,,,,,,
19,0.6333333333333333,,,,,,,,
20,0.6666666666666666,,,,,,,,
21,0.7,,,,,,,,
22,0.7333333333333333,,,,,,,,
23,0.7666666666666667,,,,,,,,
24,0.8,123.17480679913925,128.4081549350818,89.79157170075509,96.89273426508814,149.2309042126597,155.66195738482762,134.5131935105249,144.04749212584133
25,0.8333333333333334,112.6895425323238,127.49348591223283,85.65100716203796,94.95586281816293,155.42000408820215,155.5808076466456,137.7841599539522,145.512863959793
26,0.8666666666666667,124.04320808933574,129.05364550753626,91.7108184315411,95.05300424369189,159.7126714695444,159.71542398455227,138.59238793670087,145.3952285876073
27,0.9,130.28389505869364,127.71043149579282,94.90372224346322,93.39001058713431,159.87280262459038,157.86317023109962,139.3269844567352,146.28961150801348
28,0.9333333333333333,118.62012415159239,127.56517397067547,91.53116752805336,93.48057177108771,160.30063046086488,159.5898863729228,138.47008378560955,147.06315324759382
29,0.9666666666666667,120.00488462863217,127.44776168730561,92.56290056381273,93.57671974157957,158.57391719955893,159.57958574208834,137.9385107608173,146.09664750521443
30,1.0,120.43741429659529,125.86824011289482,92.00750760098583,93.43390345984878,158.40812635220544,158.3385446116991,139.53262952995303,146.31494154539337
31,1.0333333333333334,117.31419746210679,126.81255783909442,90.66575724062305,93.0180593902228,157.8510593044433,159.12502609718132,139.0698194153427,146.0352978330295
32,1.0666666666666667,120.4745653066202,127.72204515834255,92.18748099777113,93.60757095343342,159.55294951908238,160.0101027992929,138.62777846495058,145.761084970184
