exercise_label,source_video,source_video_id,subject_id,rep,rep_uid,split_group,shift,start_frame,end_frame,sampled_frames,segmentation_confidence,review_status
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,-5,129,184,"129,137,145,153,160,168,176,184",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,-4,130,185,"130,138,146,154,161,169,177,185",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,-3,131,186,"131,139,147,155,162,170,178,186",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,-2,132,187,"132,140,148,156,163,171,179,187",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,-1,133,188,"133,141,149,157,164,172,180,188",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,0,134,189,"134,142,150,158,165,173,181,189",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,1,135,190,"135,143,151,159,166,174,182,190",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,2,136,191,"136,144,152,160,167,175,183,191",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,3,137,192,"137,145,153,161,168,176,184,192",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,4,138,193,"138,146,154,162,169,177,185,193",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,1,PM_103-Camera17-30fps__rep_001,PM_103-Camera17-30fps__rep_001,5,139,194,"139,147,155,163,170,178,186,194",0.7857142857142857,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,2,PM_103-Camera17-30fps__rep_002,PM_103-Camera17-30fps__rep_002,-5,184,299,"184,200,217,233,250,266,283,299",0.7785047705912091,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,2,PM_103-Camera17-30fps__rep_002,PM_103-Camera17-30fps__rep_002,-4,185,300,"185,201,218,234,251,267,284,300",0.7785047705912091,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,2,PM_103-Camera17-30fps__rep_002,PM_103-Camera17-30fps__rep_002,-3,186,301,"186,202,219,235,252,268,285,301",0.7785047705912091,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,2,PM_103-Camera17-30fps__rep_002,PM_103-Camera17-30fps__rep_002,-2,187,302,"187,203,220,236,253,269,286,302",0.7785047705912091,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_esssss\PM_103-Camera17-30fps.mp4,PM_103-Camera17-30fps,PM_103,2,PM_103-Camera17-30fps__rep_002,PM_103-Camera17-30fps__rep_002,-1,188,303,"188,204,221,237,254,270,287,303",0.7785047705912091,accepted
