exercise_label,source_video,source_video_id,subject_id,rep,rep_uid,split_group,shift,start_frame,end_frame,sampled_frames,segmentation_confidence,review_status,augmentation,rotation_degrees
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-5,2255,2447,"2255,2282,2310,2337,2365,2392,2420,2447",0.9642857142857144,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-5,2255,2447,"2255,2282,2310,2337,2365,2392,2420,2447",0.9642857142857144,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-5,2255,2447,"2255,2282,2310,2337,2365,2392,2420,2447",0.9642857142857144,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-4,2256,2448,"2256,2283,2311,2338,2366,2393,2421,2448",0.9642857142857144,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-4,2256,2448,"2256,2283,2311,2338,2366,2393,2421,2448",0.9642857142857144,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-4,2256,2448,"2256,2283,2311,2338,2366,2393,2421,2448",0.9642857142857144,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-3,2257,2449,"2257,2284,2312,2339,2367,2394,2422,2449",0.9642857142857144,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-3,2257,2449,"2257,2284,2312,2339,2367,2394,2422,2449",0.9642857142857144,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-3,2257,2449,"2257,2284,2312,2339,2367,2394,2422,2449",0.9642857142857144,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-2,2258,2450,"2258,2285,2313,2340,2368,2395,2423,2450",0.9642857142857144,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-2,2258,2450,"2258,2285,2313,2340,2368,2395,2423,2450",0.9642857142857144,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-2,2258,2450,"2258,2285,2313,2340,2368,2395,2423,2450",0.9642857142857144,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-1,2259,2451,"2259,2286,2314,2341,2369,2396,2424,2451",0.9642857142857144,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-1,2259,2451,"2259,2286,2314,2341,2369,2396,2424,2451",0.9642857142857144,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,-1,2259,2451,"2259,2286,2314,2341,2369,2396,2424,2451",0.9642857142857144,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_alzata_gamba\PM_111-Camera17-30fps.mp4,PM_111-Camera17-30fps,PM_111,1,PM_111-Camera17-30fps__rep_001,PM_111-Camera17-30fps__rep_001,0,2260,2452,"2260,2287,2315,2342,2370,2397,2425,2452",0.9642857142857144,accepted,original,0.0
