frame,time_seconds,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee
0,0.0,146.89089880506106,130.13135516250372,104.09130309890186,85.3637115133286,,69.33700555505213,,67.92190419690957
1,0.03333333333333333,122.31025973786772,131.06452454424382,86.20465839490669,90.2869311176118,145.2859175259246,142.13384489255446,121.39702528049774,123.18309963322794
2,0.06666666666666667,121.23051304608464,143.52154868881388,96.06874896062355,104.87412044774787,150.3793445339173,154.58702394025966,129.06476203894954,135.89641971274082
3,0.1,120.26323627107489,140.30538531080938,96.05163321962931,106.66140976308921,150.6105366338833,154.79563300846968,133.08319586949926,140.99071820075028
4,0.13333333333333333,122.05619347210711,136.7057902038215,98.23969814249408,107.84769271023869,150.70079148865452,155.98292902422256,134.19216383715315,141.41895880354767
5,0.16666666666666666,121.99286625715764,141.77478341605774,99.807314407427,109.96221152244343,153.90025333165838,155.0285914381124,138.07736161830596,141.50600766324723
6,0.2,122.98195526685447,138.87353227935307,100.71052520752919,108.37411174307212,150.31094534929997,154.9075229080146,135.27114115505648,141.9738218715334
7,0.23333333333333334,125.0601812616373,134.84972813232108,103.67812142104898,110.10934630832533,151.61490558758655,154.73473181287233,135.9248602051723,139.82126656757944
8,0.26666666666666666,124.74801860952876,134.68206149780187,103.92701800154637,109.74330214281252,150.90214396253234,153.78543744568574,135.61120126822848,139.28303239458026
9,0.3,124.68264589645034,136.05278778448888,103.7183080597411,109.68675578090398,151.11523665585003,154.52210902113177,136.1102590219055,140.22076051832778
10,0.3333333333333333,125.24526294388544,134.92892952454628,104.52766550757535,109.98798778122489,152.09181029150315,155.0183429776027,136.3096005386414,140.17841688876112
11,0.36666666666666664,126.56667402563653,135.21651486278842,105.45760337455958,109.66601191045446,152.30851891527817,155.3511778723892,137.33214702293225,140.87061618506743
12,0.4,125.49432193456174,135.84563227708446,105.69785701983905,109.70040815265476,153.25215229814742,155.69861736981662,137.98158093687786,140.97679329987895
13,0.43333333333333335,125.32756477018529,136.10220481469258,106.0747556577808,109.85785532285747,153.11106058290127,156.21114359274665,138.20770761834973,141.54743326553316
14,0.4666666666666667,126.16037931029246,137.43873098829204,107.84291898945831,110.79465476820427,153.89224174809874,155.77479248804892,138.28765836746894,140.3813704529208
15,0.5,126.54783431699062,136.6415289441281,107.96861948071106,110.41914262819778,153.5770835832126,155.92776039300725,137.82947672665134,141.37638820998924
16,0.5333333333333333,126.0578337000623,138.6579112845822,108.19753458102952,111.38323059634854,154.24925347354247,155.31889953053005,138.0017202221228,140.81137310842539
17,0.5666666666666667,124.0659931533716,141.05948185263824,106.66750927022366,111.93262524590034,155.3116948393659,156.11244756186946,138.70931417818554,142.02302233973276
18,0.6,124.18019432959407,140.3734609655179,106.88773234769658,111.83855386020441,154.83108356520896,156.4836530689372,139.6212868271954,142.47588591809014
19,0.6333333333333333,124.84726060910134,137.13101310894334,107.38259234976776,110.92139016658405,153.62905858071224,156.05099369627786,139.15348444103174,141.3128718103048
20,0.6666666666666666,125.4953610408353,139.39774158935268,107.81740106472208,111.94739563058333,155.00735240589808,156.3750960682289,139.2343989607969,142.80111306607998
21,0.7,121.90673399416575,138.48916580154386,105.22000695502221,111.10433245161252,153.83859024332926,155.33811157376937,137.9158868041764,142.06220843632912
22,0.7333333333333333,121.86064645599033,139.73144285810616,105.02284247974322,111.8065499856823,153.76096186579645,154.80421386826183,138.26076863555735,141.75766117738272
23,0.7666666666666667,123.35816653921822,140.83397478820453,106.15407429237402,112.40068046908955,154.24073911471967,155.0401290002873,138.13554742404148,141.7209590456952
24,0.8,123.31533029211198,139.78937352545628,105.52650275844775,111.72306018982457,153.21862647363363,154.33694304918325,137.3783584858856,141.26176815197755
25,0.8333333333333334,122.89236723555311,140.82835213980275,106.5415509587376,112.00789366027013,154.0096740438845,154.19843351402355,138.32692712599015,141.24954965956832
26,0.8666666666666667,123.50855634676485,141.02033241590385,107.2341985370242,112.2101738543976,154.67008439057943,154.15166187815063,138.22693364802873,141.11376258753373
27,0.9,123.11826850289472,142.81504735642736,107.66685307648818,113.12143837194631,158.15119433056972,155.53374445016098,138.73648965662096,141.437187313684
